OTU,logMaxMean,LDA,pValue
Otu01020,0,NA,NA
Otu01021,0,NA,NA
Otu01025,0.69567,NA,NA
Otu01026,0,NA,NA
Otu01028,0.364335,NA,NA
Otu01030,0,NA,NA
Otu01032,0.0522948,NA,NA
Otu01034,0,NA,NA
Otu01035,0.664089,NA,NA
Otu01039,0.779458,NA,NA
Otu01045,0.0522948,NA,NA
Otu01047,0.721452,NA,NA
Otu01053,0,NA,NA
Otu01056,0.739121,NA,NA
Otu01057,0.890725,NA,NA
Otu01059,0.511181,NA,NA
Otu01060,0.664089,NA,NA
Otu01061,0.300855,NA,NA
Otu01062,0.535776,NA,NA
Otu01064,1.02724,NA,NA
Otu01070,0.617985,NA,NA
Otu01072,1.24419,NA,NA
Otu01076,1.49147,NA,NA
Otu01080,0.258744,NA,NA
Otu01084,0.0522948,NA,NA
Otu01091,0.434835,NA,NA
Otu01097,0.408508,NA,NA
Otu01099,0.408508,NA,NA
Otu01101,0.114332,NA,NA
Otu01105,0.664089,NA,NA
Otu01109,0.500137,NA,NA
Otu01111,0.847504,NA,NA
Otu01113,0.701163,NA,NA
Otu01115,0,NA,NA
Otu01116,0.472666,NA,NA
Otu01118,0.300855,NA,NA
Otu01120,0,NA,NA
Otu01121,1.03482,NA,NA
Otu01124,0,NA,NA
Otu01125,0.534355,NA,NA
Otu01131,0.664089,NA,NA
Otu01134,0,NA,NA
Otu01137,0.500137,NA,NA
Otu01145,0.491184,NA,NA
Otu01148,0.925282,NA,NA
Otu01150,0.177501,NA,NA
Otu01151,0,NA,NA
Otu01154,0.534355,NA,NA
Otu01155,0.368278,NA,NA
Otu01156,0,NA,NA
Otu01157,0.224452,NA,NA
Otu01158,0.669308,NA,NA
Otu01159,0.514892,NA,NA
Otu01160,0,NA,NA
Otu01162,0.511181,NA,NA
Otu01164,0.408508,NA,NA
Otu01166,0.82341,NA,NA
Otu01167,0.370382,NA,NA
Otu01168,0.535776,NA,NA
Otu01172,0,NA,NA
Otu01174,0.355188,NA,NA
Otu01175,0,NA,NA
Otu01180,1.46986,NA,NA
Otu01183,0.559774,NA,NA
Otu01185,1.01816,NA,NA
Otu01191,0,NA,NA
Otu01194,0.534355,NA,NA
Otu01195,0.417668,NA,NA
Otu01196,0,NA,NA
Otu01197,0.408508,NA,NA
Otu01199,0.500137,NA,NA
Otu01200,0.370382,NA,NA
Otu01203,0,NA,NA
Otu01204,0,NA,NA
Otu01210,0.300855,NA,NA
Otu01211,0.434835,NA,NA
Otu01214,0.486613,NA,NA
Otu01215,0.664089,NA,NA
Otu01217,0.958732,NA,NA
Otu01221,0,NA,NA
Otu01224,0.793015,NA,NA
Otu01225,0.234746,NA,NA
Otu01231,0.500137,NA,NA
Otu01232,0,NA,NA
Otu01233,0,NA,NA
Otu01237,0,NA,NA
Otu01239,0,NA,NA
Otu01240,0.988898,NA,NA
Otu01243,0.258744,NA,NA
Otu01249,0,NA,NA
Otu01250,0.258744,NA,NA
Otu01253,0,NA,NA
Otu01254,0.312516,NA,NA
Otu01262,0.434835,NA,NA
Otu01263,0.835385,NA,NA
Otu01266,0,NA,NA
Otu01268,0,NA,NA
Otu01269,0,NA,NA
