,mouse,treatment,experiment,day,cfu
213,1240,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,9,1
214,1241,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,9,1
215,1233,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,9,1
216,1289,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,1,1
217,1290,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,1,1
218,1307,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,1,1
219,1289,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,2,1
220,1290,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,2,1
221,1307,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,2,1
222,1289,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,3,1
223,1290,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,3,1
224,1307,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,3,1
225,1289,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,5,1
226,1290,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,5,1
227,1289,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,7,1
228,1290,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,7,1
229,1307,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,7,1
230,1289,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,9,1
231,1290,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,9,1
232,1307,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_2_032921,9,1
